xi,phi_prime,phat
-157.51953125,-1.0811020388085763e-08,-9.523245260322893e-12
-157.421875,-3.531625720825647e-08,-1.4246938882847738e-11
-157.32421875,-5.8564274966460684e-08,-1.8193908487257394e-11
-157.2265625,-7.938872365709892e-08,-2.1188878244547956e-11
-157.12890625,-9.671956943178788e-08,-2.3105688058753718e-11
-157.03125,-1.0963749454865533e-07,-2.3872634321245713e-11
-156.93359375,-1.174220579831213e-07,-2.3474682830849846e-11
-156.8359375,-1.1959088505728334e-07,-2.195331187256267e-11
-156.73828125,-1.1592806897353569e-07,-1.9403231939050896e-11
-156.640625,-1.0649989243858395e-07,-1.596700767847399e-11
-156.54296875,-9.165711300701238e-08,-1.1827071915796898e-11
-156.4453125,-7.202327269202895e-08,-7.196377231116032e-12
-156.34765625,-4.846937573515188e-08,-2.3073491733724214e-12
-156.25,-2.2075958304171866e-08,2.5994802878120736e-12
-156.15234375,5.915941574223233e-09,7.287420778400403e-12
-156.0546875,3.416260583715842e-08,1.1534749253422282e-11
-155.95703125,6.128160647309808e-08,1.5145311604158346e-11
-155.859375,8.591898508587685e-08,1.7957279406798182e-11
-155.76171875,1.068162799453334e-07,1.9850496613086046e-11
